Country Name,Country Code,Counterpart-Area Name,Counterpart-Area Code,Series Name,Series Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025],2026 [YR2026],2027 [YR2027],2028 [YR2028],2029 [YR2029]
Angola,AGO,China,730,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1695000,1801000,..,..,..,..,..,..,..,..,..,..,..,11874000,..,4279000,15868000,49737000,105639000,132337000,150118000,138385000,583779000,1041283000,1380057000,1670412000,1905482000,3390547000,3050862027,3945151000,4056628000,2177776000,1211867000,4745770592,4852955273,5239934618,4816187321,4283769578,4172654741,2836023187,1300633319
Angola,AGO,Japan,701,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,188909.5,3497045.9,230609,..,..,137184.6,149748.1,..,107603.6,..,..,2246163.4,1054186.7,1723837.5,46609000,66894000,277957000,42031969.9,..,..,..,..,..,4547312.9,20158144.9,33551098.3,71718980.9,92612468.8,114924789.3,130213855.2,108625066.9,47120575.7,0,120548097.4,104404341.6,88980561.4,68353003.5,8242206.5,8242206.5,3586255.2,3586255.2
Argentina,ARG,USSR,078,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,3943000,2279000,893000,64000,296000,1475000,2711000,3970000,5097000,26390712.8,30059693.1,30830451.6,30553431.5,43844250.6,49147085.5,37486225.8,42563670,62890668.4,49883786.7,36570313.4,31239384.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,Russian Federation,087,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,29672000,8555000,42521495,37488786.5,41444385.6,38977317.1,35362914.5,32721696.6,33020663,26569015.6,15301948.5,5273000,2668000,1087000,1234000,1138000,166000,..,..,..,..,..,..,..,..,0,0,0,0,0,0,..,..,..,..,..,..,..,..
Argentina,ARG,United States,302,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,163429000,142195690.4,123047542.6,140888328.1,223238888.1,177366978.3,181520882.9,217956832,737675030.3,345649254,584121391.9,756430220.6,912366333.9,836872774.1,801193314.1,902257900,1146858867,802397654,1134953806,200283046.7,170072429.1,503354815.2,765993,58081000,67732754.1,117528000,128859000,150608000,144664000,146822000,113031000,83805000,4793000,774000,524000,521000,789000,510000,647000,20676000,10381000,445000,19388000,435000,71086000,51021000,120032000,87489000,132621000,133632000,394000,16079000,403764.7,212764.7,199764.7,187764.7,175764.7,111176.5,..,..
Argentina,ARG,China,730,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,92000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,984000,7531000,11232000,455002000,302509000,274053000,563100000,318624000,450249000,456344000,473096000,876082257.4,938691157.4,933085157.4,912305157.4,884377157.4,853960157.4,823544157.4,791887157.4
Argentina,ARG,Japan,701,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,14785843.2,12265488.2,7053195.7,7649441,16406663,23411144.3,37567232.9,48707537.5,154222621.3,66757957,88366241.3,90145615.5,99582852,92469780,5854635,22015488,45400421.7,55383129.2,62789662.8,11014877.5,67796896.5,29540268,9523114.8,89910322.8,132832769.4,486754265.8,417487299.2,462292547.3,390065849.2,440176769.3,488719868.1,306369260.5,127123620.1,29733107.5,28956531.6,21808909.2,215019.2,153001.3,164896.6,..,..,..,..,..,235498775.5,153351830.1,406099104.6,286205902,439894885.5,459971980.5,12927405.4,63394461.8,10467559.7,10239908.9,..,..,..,..,..,..
Armenia,ARM,USSR,078,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,Russian Federation,087,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1889000,25419194.7,1852329.2,7236264.5,13396361.4,3706251,20165000,9846000,19177000,31009000,59000,..,..,..,10583000,18266833,17374000,19127000,514181432.2,..,..,182000,1328000,26168000,28881000,49667000,47719000,47432375,52937041.7,51625041.7,50313041.7,49001041.7,47564041.7,26577041.7,25867041.7
Armenia,ARM,United States,302,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,244000,468000,729000,729000,728000,2469000,17488600.6,3952558.5,2587000,2549000,2623237.6,2725675.4,2442539.3,2404618.1,2365474.9,2329248.1,2286606.8,2249145,2212000,2175000,2138000,2099000,2062000,2024000,1987000,2039690.4,1989690.4,1937690.4,1885690.4,1834690.4,1204690.4,580857.1,..
Armenia,ARM,China,730,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1000000,1000000,2136000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,113081.1,392637.1,452740.3,477116.1,456407.1,1209640.7,2071243.6,2057589.3,2025095.2,1992444.2,1960107.2,1927456.1,1894962.1,1862468.1,1829817.1
Armenia,ARM,Japan,701,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7989.2,8640.8,9248.3,9090.8,8600.8,25500.2,581987.9,4215942.7,5490491.6,6842699.6,6680932.9,5417800.5,4961632.3,11434956.9,12652504.1,12143969.2,12247293.9,12293776.1,12459021.3,12016048.4,10036803.7,9975513.1,9914222.5,9835420.3,9782885.5,9712839.1,9651548.5,9581502.1
Azerbaijan,AZE,USSR,078,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Azerbaijan,AZE,Russian Federation,087,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,168915000,20409000,20956000,29362666.7,28130666.7,26898666.7,..,..,..,..,..
Azerbaijan,AZE,United States,302,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9581000,5486000,6769000,7216000,10297000,10835000,6952000,13048000,7785000,9153000,9578000,4707000,12591000,12368000,12338000,12613000,12823000,12936000,12979000,12172000,11771000,11721000,..,..,..,..,..,..,..
Azerbaijan,AZE,China,730,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Azerbaijan,AZE,Japan,701,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,623095.1,23426926.9,8680568.3,15219362.5,15536218.4,15509455,12272625.1,11026189,1487512.6,8283627.1,42865651.2,29324427.2,28066666.3,21308791.7,16534135.8,15323729,22217195.7,24605160.9,23619217.4,24567056.7,58120202.7,34135844.4,37333625.3,32101242.6,31899859.2,31698475.8,31505848.1,31295708.9,31103081.3,30892942.1,30700314.5
Bangladesh,BGD,USSR,078,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,..,..,..,210886.4,2215252.7,11484359,13377297,27431111.1,37699297,30732338,9307827,22993694.9,17344495.3,7185501.6,7845959.2,17056380.3,15417394.4,19588446.1,22478798.7,18726161.5,25412970.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bangladesh,BGD,Russian Federation,087,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,..,..,..,..,..,..,..,..,2838.1,..,..,67435,492277.5,657930,774952.5,764240,983620,1147987.5,1297240,1312102,1327375,33155471.2,29813171.7,27680060,23175811.1,37710567.7,26727790.8,14942264.5,14354493.2,13583195.6,20918333.5,18429817.4,8911182.5,24126149.3,22977479.5,8723000,16082000,7139000,10264.5,15396.8,17886.9,..,..,..,1133000,1133000,5294000,9153000,128289000,165760000,177653000,168534000,262295000,203200000,223123000,232179000,233990000,791186150,779486150,767786150
Bangladesh,BGD,United States,302,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,..,..,..,..,306000,1326000,3244000,4429000,10324000,10612000,9012000,9747000,10527000,14018000,16220000,21348000,33040000,35818000,70088000,37138000,161255000,49780000,51941000,11090000,23714000,43478000,68212000,74221000,48734000,50228000,88545000,38090000,42294000,46449000,46031000,42294000,46645000,40407000,37152000,44275000,53869000,29729000,28190000,39728000,31761000,23648000,19104000,11237000,6183000,423000,216000,122000,..,..,..,..,..,..,..,..
Bangladesh,BGD,China,730,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,1300000,..,..,..,..,..,643000,662000,2412000,1952000,1254000,2862000,4228290.9,14763768.3,78334498.8,9038872.5,9945463.8,16091841.7,13092432.1,12696682.1,4921253.4,6167022.1,5842899,4551405.6,4733688.2,5158424.8,18906268.3,23890626.6,17231369.6,3728472.3,14981413.4,19196035.7,14010259.9,18072935,24272810.9,38837960.3,62885804.7,97248302.2,149612342.3,163706767.4,186581580.8,271167118,406704840.8,625474890.4,785541955.4,776313986.1,839537506,825654672.7,811482368.5
Bangladesh,BGD,Japan,701,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,..,..,..,..,1289685.3,3210994.1,3102331.3,3988189,5873162.5,7684591.7,9338698.4,12113214.5,12818233.2,15243620.5,20643730,23543536.4,36939563.4,53752457,72958476.5,79682223.8,84267337.4,113688763.8,130265688.2,154825557,183570144.8,210152636.2,195007610.3,187315302.6,175804047.8,217662022.8,239977493.4,216281218.8,216364209.9,113990737.4,93241696.6,254818966.8,71310715.8,270387282.6,129831790.9,146755468.8,146918919.2,165564980.9,170363375.4,132314114.7,127328836.7,106293872.8,126957841.3,120004171.3,133452019.1,123249693.3,126463749,130818117.1,158814774.1,216716453.7,271786003.3,295805043.3,357822344,430114676.9,508924428.9,624570830.8
Belarus,BLR,USSR,078,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,Russian Federation,087,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2240.5,1769198.8,4452000,3126000,10235000,15525000,6285000,37510000,13882000,3432000,54990000,52975000,61954000,86773000,132866000,153888000,138480000,217366574.2,1569362117,328541000,1058779000,853045806.5,1222719192,823872803.9,1370030310,1049920335,1065279605,1071072817,1609749681,1425453951,1225252508,1147694422,1279912164,1277080384,1125493857,1023324697
Belarus,BLR,United States,302,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1035000,1115000,1512000,1760000,1925000,2734000,2845000,4302000,5824000,6032000,6090000,5808000,5694000,5581000,9478000,5354000,5242000,5131400,5015000,4902000,4790000,4678000,4564000,4450000,4337000,4225000,4108000,3999000,3916500,2865500,850500,834500,..,..,..,..
Belarus,BLR,China,730,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1839000,2436000,4210000,4351000,3858000,2860000,2591000,2643000,3081636.7,4820723.9,8123844,13184890,30118812.8,75170269.3,103124083.2,249924421.5,169917149.7,295912505.3,283642960.4,360154818.9,504879648.1,632256634.7,952650664.9,969085330.7,876379239.9,998782894.5,1015952001,1240078031,727933466,600342296.1,553179106.9,492164042.8,401922277.6
Belarus,BLR,Japan,701,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8057592.1,13518666.5,9444368,553231.5,2817062.8,2425180,2287130,4944515.9,6973643.3,7497366.7,7149608.3,6682677,6368525.1,6498231.4,..,34244.2,1194573,11169987.1,8759399.5,13365697,6428032.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belize,BLZ,USSR,078,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belize,BLZ,Russian Federation,087,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belize,BLZ,United States,302,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,46000,332000,368000,451000,477000,593000,1825000,3154000,2732000,2649000,2732000,4233000,7527000,8260000,8009000,7921000,6891000,9481210.5,18747977.6,90368286.5,24415483.3,108274875,92645750.5,8634643.8,55208049.5,25383000,25051465,29490092,33621000,28348703,100858,..,..,..,..,..,..,..,0,17381000,12922000,12922000,12922000,12922000,12922000,12922000,12922000
Belize,BLZ,China,730,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6000,134000,642000,1025000,1080000,1038000,998000,954000,915000,1108991.6,915972.2,1200996.2,1679995.8,1632996,1586996.4,1539292,1493102.6,1416000,1369000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belize,BLZ,Japan,701,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Benin,BEN,USSR,078,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,271860,373560,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Benin,BEN,Russian Federation,087,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16459125.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Benin,BEN,United States,302,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,1000,1000,9000,4000,92000,143000,293000,409000,456000,1915000,2907000,1943000,2130000,2043000,1032000,1031000,747000,459000,1080000,..,..,..,..,..,..,..,..,..,..,..,2807000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Benin,BEN,China,730,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,71847.5,..,1005209.6,1739591.3,2214598.4,2897141.9,2913393.2,3614205.8,788087.2,565671.4,591698.4,567559.8,634687.1,2348145.1,12246951.4,3012466.7,3050308.5,17029420.5,34270418.6,10843024.2,14209660.4,15989243.6,7209507.7,7993965.9,16932096.9,6982622.4,13198940.7,44046738,70473744.9,71712600.6,76788386.5,76982009,77915576.2,79681412.3,82347586.2
Benin,BEN,Japan,701,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,82772,322294.6,614319.1,352703.3,312961.7,303588.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,3176943,5650541.4,38771918.3,37925866.1,36641497.7,17790880.8,17324249.6,16859883.6
